read_2	Term
C104.	Diabetic nephropathy
C104.	Diabetes mellitus with renal manifestation
C1040	Diabetes mellitus, juvenile type, with renal manifestation
C1041	Diabetes mellitus, adult onset, with renal manifestation
C104y	Other specified diabetes mellitus with renal complications
C104z	Diabetes mellitus with nephropathy NOS
C1080	Insulin-dependent diabetes mellitus with renal complications
C1080	Type I diabetes mellitus with renal complications
C1080	Type 1 diabetes mellitus with renal complications
C108D	Insulin dependent diabetes mellitus with nephropathy
C108D	Type I diabetes mellitus with nephropathy
C108D	Type 1 diabetes mellitus with nephropathy
C1090	Non-insulin-dependent diabetes mellitus with renal complications
C1090	Type II diabetes mellitus with renal complications
C1090	Type 2 diabetes mellitus with renal complications
C109C	Non-insulin dependent diabetes mellitus with nephropathy
C109C	Type II diabetes mellitus with nephropathy
C109C	Type 2 diabetes mellitus with nephropathy
C10A2	Malnutrition-related diabetes mellitus with renal complications
C10E0	Type 1 diabetes mellitus with renal complications
C10E0	Type I diabetes mellitus with renal complications
C10E0	Insulin-dependent diabetes mellitus with renal complications
C10ED	Type 1 diabetes mellitus with nephropathy
C10ED	Type I diabetes mellitus with nephropathy
C10ED	Insulin dependent diabetes mellitus with nephropathy
C10F0	Type 2 diabetes mellitus with renal complications
C10F0	Type II diabetes mellitus with renal complications
C10FC	Type 2 diabetes mellitus with nephropathy
C10FC	Type II diabetes mellitus with nephropathy
Cyu23	[X]Unspecified diabetes mellitus with renal complications
K01x1	Nephrotic syndrome in diabetes mellitus
K01x1	Kimmelstiel - Wilson disease
K081.	Nephrogenic diabetes insipidus
K0810	Acquired nephrogenic diabetes insipidus
K0811	Congenital nephrogenic diabetes insipidus
K08yA	Proteinuric diabetic nephropathy
K08yA	Clinical diabetic nephropathy
